"Site Name ","WLR113",,,
"Site Number ",103,,,
"Logger ","Capacitive Water Level",,,
"Logger Serial Number ",41697,,,
,,,,
,,,,
"Scan No ","Date and Time","       Capacitive Water Level","        ",
"        ","        ","RAW VALUE ","CALIBRATED VALUE",
,,,,
471,25/01/2016,02:05:00,"NA",26.29
472,25/01/2016,02:10:00,"NA",26.29
473,25/01/2016,02:15:00,"NA",26.29
474,25/01/2016,02:20:00,"NA",26.29
475,25/01/2016,02:25:00,"NA",26.29
476,25/01/2016,02:30:00,"NA",26.29
477,25/01/2016,02:35:00,"NA",26.23
478,25/01/2016,02:40:00,"NA",26.23
479,25/01/2016,02:45:00,"NA",26.23
480,25/01/2016,02:50:00,"NA",26.23
481,25/01/2016,02:55:00,"NA",26.23
482,25/01/2016,03:00:00,"NA",26.23
483,25/01/2016,03:05:00,"NA",26.23
484,25/01/2016,03:10:00,"NA",26.23
485,25/01/2016,03:15:00,"NA",26.23
486,25/01/2016,03:20:00,"NA",26.23
487,25/01/2016,03:25:00,"NA",26.23
488,25/01/2016,03:30:00,"NA",26.23
489,25/01/2016,03:35:00,"NA",26.23
490,25/01/2016,03:40:00,"NA",26.23
491,25/01/2016,03:45:00,"NA",26.23
492,25/01/2016,03:50:00,"NA",26.17
493,25/01/2016,03:55:00,"NA",26.17
494,25/01/2016,04:00:00,"NA",26.17
495,25/01/2016,04:05:00,"NA",26.17
496,25/01/2016,04:10:00,"NA",26.17
497,25/01/2016,04:15:00,"NA",26.17
498,25/01/2016,04:20:00,"NA",26.17
499,25/01/2016,04:25:00,"NA",26.17
500,25/01/2016,04:30:00,"NA",26.11
501,25/01/2016,04:35:00,"NA",26.11
502,25/01/2016,04:40:00,"NA",26.11
503,25/01/2016,04:45:00,"NA",26.11
504,25/01/2016,04:50:00,"NA",26.05
505,25/01/2016,04:55:00,"NA",26.05
506,25/01/2016,05:00:00,"NA",26.05
507,25/01/2016,05:05:00,"NA",26.05
508,25/01/2016,05:10:00,"NA",25.99
509,25/01/2016,05:15:00,"NA",25.99
510,25/01/2016,05:20:00,"NA",25.99
511,25/01/2016,05:25:00,"NA",25.99
512,25/01/2016,05:30:00,"NA",25.99
513,25/01/2016,05:35:00,"NA",25.99
514,25/01/2016,05:40:00,"NA",25.99
515,25/01/2016,05:45:00,"NA",25.93
516,25/01/2016,05:50:00,"NA",25.93
517,25/01/2016,05:55:00,"NA",25.93
518,25/01/2016,06:00:00,"NA",25.93
519,25/01/2016,06:05:00,"NA",25.93
520,25/01/2016,06:10:00,"NA",25.93
521,25/01/2016,06:15:00,"NA",25.93
522,25/01/2016,06:20:00,"NA",25.93
523,25/01/2016,06:25:00,"NA",25.87
524,25/01/2016,06:30:00,"NA",25.87
525,25/01/2016,06:35:00,"NA",25.87
526,25/01/2016,06:40:00,"NA",25.87
527,25/01/2016,06:45:00,"NA",25.87
528,25/01/2016,06:50:00,"NA",25.87
529,25/01/2016,06:55:00,"NA",25.87
530,25/01/2016,07:00:00,"NA",25.87
531,25/01/2016,07:05:00,"NA",25.87
532,25/01/2016,07:10:00,"NA",25.87
533,25/01/2016,07:15:00,"NA",25.87
534,25/01/2016,07:20:00,"NA",25.87
535,25/01/2016,07:25:00,"NA",25.87
536,25/01/2016,07:30:00,"NA",25.87
537,25/01/2016,07:35:00,"NA",25.87
538,25/01/2016,07:40:00,"NA",25.87
539,25/01/2016,07:45:00,"NA",25.87
540,25/01/2016,07:50:00,"NA",25.93
541,25/01/2016,07:55:00,"NA",25.93
542,25/01/2016,08:00:00,"NA",25.57
